epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,117.387,0.75696,0.6482,0.8951,0.99802,1,0.995,0.82762,0.6783,0.47384,0.89604,0.0008714,0.0008714,0.0008714
59,119.029,0.78301,0.66584,0.94718,0.99808,1,0.995,0.83839,0.66375,0.47692,0.90134,0.0008516,0.0008516,0.0008516
60,120.549,0.89635,0.7299,0.97323,0.99747,1,0.995,0.82875,0.66391,0.46569,0.89473,0.0008318,0.0008318,0.0008318
61,122.05,0.82253,0.66179,0.94351,0.99747,1,0.995,0.83918,0.65694,0.44424,0.88928,0.000812,0.000812,0.000812
62,123.612,0.7917,0.64065,0.9204,0.99759,1,0.995,0.83623,0.64757,0.44261,0.89233,0.0007922,0.0007922,0.0007922
63,125.144,0.85171,0.68201,0.92291,0.99772,1,0.995,0.83226,0.63648,0.43622,0.89303,0.0007724,0.0007724,0.0007724
64,126.709,0.74905,0.65867,0.9421,0.99767,1,0.995,0.8653,0.61493,0.42702,0.87773,0.0007526,0.0007526,0.0007526
65,128.225,0.7255,0.61302,0.94343,0.99758,1,0.995,0.85369,0.59947,0.41348,0.87286,0.0007328,0.0007328,0.0007328
66,129.785,0.81604,0.61859,0.94452,0.99793,1,0.995,0.83801,0.62821,0.41714,0.87288,0.000713,0.000713,0.000713
67,131.292,0.78562,0.62362,0.91345,0.99796,1,0.995,0.83008,0.66352,0.42364,0.87208,0.0006932,0.0006932,0.0006932
68,132.857,0.71076,0.62049,0.9018,0.99791,1,0.995,0.84566,0.6401,0.42094,0.88249,0.0006734,0.0006734,0.0006734
69,134.387,0.77566,0.61487,0.91429,0.99791,1,0.995,0.85216,0.58492,0.40848,0.87116,0.0006536,0.0006536,0.0006536
70,135.997,0.76073,0.61354,0.90446,0.99796,1,0.995,0.85897,0.60084,0.39187,0.87534,0.0006338,0.0006338,0.0006338
71,137.503,0.67058,0.58019,0.88907,0.99797,1,0.995,0.81418,0.69388,0.39379,0.88747,0.000614,0.000614,0.000614
72,139.201,0.73167,0.60276,0.91814,0.99794,1,0.995,0.79337,0.75852,0.41278,0.89749,0.0005942,0.0005942,0.0005942
73,140.724,0.763,0.61208,0.91213,0.99796,1,0.995,0.81273,0.69144,0.40944,0.88692,0.0005744,0.0005744,0.0005744
74,142.291,0.70127,0.54969,0.8921,0.99794,1,0.995,0.82963,0.60346,0.39204,0.8735,0.0005546,0.0005546,0.0005546
75,143.798,0.77399,0.60681,0.91234,0.99808,1,0.995,0.84484,0.58917,0.38529,0.87565,0.0005348,0.0005348,0.0005348
76,145.4,0.79658,0.58985,0.92502,0.99842,1,0.995,0.83804,0.61802,0.38494,0.88284,0.000515,0.000515,0.000515
77,147.304,0.74738,0.56725,0.90128,0.99837,1,0.995,0.84383,0.59417,0.38712,0.88081,0.0004952,0.0004952,0.0004952
78,148.871,0.69479,0.55711,0.90781,0.998,1,0.995,0.84495,0.6181,0.38636,0.88251,0.0004754,0.0004754,0.0004754
79,150.487,0.67537,0.57795,0.89939,0.99784,1,0.995,0.84567,0.60661,0.38225,0.87925,0.0004556,0.0004556,0.0004556
